Month,Monthly Value,YoY Value,YoY Percent
09/01/2010 07:00:00,82.1%,-1.1%,-1.1%
10/01/2010 07:00:00,84.9%,2.3%,2.3%
11/01/2010 07:00:00,77.1%,-1.3%,-1.3%
12/01/2010 07:59:59,72.4%,1.1%,1.1%
01/01/2011 07:59:59,79%,7.9%,7.9%
02/01/2011 07:59:59,80.6%,0.9%,0.9%
03/01/2011 07:59:59,87.2%,4.8%,4.8%
04/01/2011 07:00:00,87.7%,3.7%,3.7%
05/01/2011 07:00:00,86.1%,3.5%,3.5%
06/01/2011 07:00:00,88.5%,6.4%,6.4%
07/01/2011 07:00:00,88.3%,4.3%,4.3%
08/01/2011 07:00:00,84.1%,2.1%,2.1%
09/01/2011 07:00:00,85.7%,3.6%,3.6%
10/01/2011 07:00:00,86.8%,1.9%,1.9%
11/01/2011 07:00:00,78.3%,1.2%,1.2%
12/01/2011 07:59:59,73.1%,0.7%,0.7%
01/01/2012 07:59:59,78.3%,-0.7%,-0.7%
02/01/2012 07:59:59,81.7%,1.1%,1.1%
03/01/2012 07:59:59,88.3%,1.1%,1.1%
04/01/2012 07:00:00,86.5%,-1.2%,-1.2%
05/01/2012 07:00:00,86.6%,0.5%,0.5%
06/01/2012 07:00:00,88%,-0.5%,-0.5%
07/01/2012 07:00:00,87.2%,-1.1%,-1.1%
08/01/2012 07:00:00,84%,-0.1%,-0.1%
09/01/2012 07:00:00,86.8%,1.1%,1.1%
10/01/2012 07:00:00,89.4%,2.6%,2.6%
11/01/2012 07:00:00,79.7%,1.4%,1.4%
12/01/2012 07:59:59,75.8%,2.7%,2.7%
01/01/2013 07:59:59,78.1%,-0.2%,-0.2%
02/01/2013 07:59:59,83.5%,1.8%,1.8%
03/01/2013 07:59:59,88.4%,0.1%,0.1%
04/01/2013 07:00:00,87%,0.5%,0.5%
05/01/2013 07:00:00,86.6%,0%,0%
06/01/2013 07:00:00,87.4%,-0.6%,-0.6%
07/01/2013 07:00:00,87.3%,0.1%,0.1%
08/01/2013 07:00:00,84.3%,0.3%,0.3%
09/01/2013 07:00:00,85.6%,-1.2%,-1.2%
10/01/2013 07:00:00,87.8%,-1.6%,-1.6%
11/01/2013 07:00:00,82.6%,2.9%,2.9%
12/01/2013 07:59:59,73.4%,-2.4%,-2.4%
01/01/2014 07:59:59,83.5%,5.4%,5.4%
02/01/2014 07:59:59,85.6%,2.1%,2.1%
03/01/2014 07:59:59,91.8%,3.4%,3.4%
04/01/2014 07:00:00,89.8%,2.8%,2.8%
05/01/2014 07:00:00,88.7%,2.1%,2.1%
06/01/2014 07:00:00,90%,2.6%,2.6%
07/01/2014 07:00:00,88.7%,1.4%,1.4%
08/01/2014 07:00:00,87.7%,3.4%,3.4%
09/01/2014 07:00:00,85.9%,0.3%,0.3%
10/01/2014 07:00:00,89.1%,1.3%,1.3%
11/01/2014 07:00:00,83.7%,1.1%,1.1%
12/01/2014 07:59:59,76.5%,3.1%,3.1%
01/01/2015 07:59:59,81.7%,-1.8%,-1.8%
02/01/2015 07:59:59,84.7%,-0.9%,-0.9%
03/01/2015 07:59:59,88.6%,-3.2%,-3.2%
04/01/2015 07:00:00,88.8%,-1%,-1%
05/01/2015 07:00:00,91.2%,2.5%,2.5%
06/01/2015 07:00:00,90.4%,0.4%,0.4%
07/01/2015 07:00:00,91.5%,2.8%,2.8%
08/01/2015 07:00:00,88.4%,0.7%,0.7%
09/01/2015 07:00:00,89.9%,4%,4%
10/01/2015 07:00:00,92.8%,3.7%,3.7%
11/01/2015 07:00:00,86.4%,2.7%,2.7%
12/01/2015 07:59:59,78.5%,2%,2%
01/01/2016 07:59:59,84.7%,3%,3%
02/01/2016 07:59:59,87.2%,2.5%,2.5%
03/01/2016 07:59:59,91.8%,3.2%,3.2%
04/01/2016 07:00:00,89.7%,0.9%,0.9%
05/01/2016 07:00:00,88%,-3.2%,-3.2%
06/01/2016 07:00:00,93.5%,3.1%,3.1%
07/01/2016 07:00:00,93.7%,2.2%,2.2%
08/01/2016 07:00:00,89.3%,0.9%,0.9%
09/01/2016 07:00:00,92.9%,3%,3%
10/01/2016 07:00:00,92.7%,-0.1%,-0.1%
11/01/2016 07:00:00,86.5%,0.1%,0.1%
12/01/2016 07:59:59,79.6%,1.1%,1.1%
01/01/2017 07:59:59,85.7%,1%,1%
02/01/2017 07:59:59,85.6%,-1.6%,-1.6%
03/01/2017 07:59:59,94%,2.2%,2.2%
04/01/2017 07:00:00,90.7%,1%,1%
05/01/2017 07:00:00,89.1%,1.1%,1.1%
06/01/2017 07:00:00,92.6%,-0.9%,-0.9%
07/01/2017 07:00:00,94.5%,0.8%,0.8%
08/01/2017 07:00:00,88.6%,-0.7%,-0.7%
09/01/2017 07:00:00,91.1%,-1.8%,-1.8%
10/01/2017 07:00:00,90%,-2.7%,-2.7%
11/01/2017 07:00:00,84.5%,-2%,-2%
12/01/2017 07:59:59,77.4%,-2.2%,-2.2%
